"topic","n_days","lifespan_hours","last_rolling_slope","kendall_tau","saturated","reason"
"4 Non Blondes - What's Up? (Lyrics)",6,240,10,1,FALSE,""
"A Doctor’s Number-1 Fitness Tip for Women Over 50 - AOL.com",1,6,0,0,TRUE,"logistic_or_heuristic_short;low_rolling_slope;kendall_flat_or_decreasing;no_recent_growth"
"Antonio Brown will go to Miami to face charges - ESPN",1,6,0,0,TRUE,"logistic_or_heuristic_short;low_rolling_slope;kendall_flat_or_decreasing;no_recent_growth"
"Colts place DT DeForest Buckner on injured reserve - Colts.com",1,6,0,0,TRUE,"logistic_or_heuristic_short;low_rolling_slope;kendall_flat_or_decreasing;no_recent_growth"
"F1 braced for potential cyclone disruption at Brazilian GP - The Race",1,6,0,0,TRUE,"logistic_or_heuristic_short;low_rolling_slope;kendall_flat_or_decreasing;no_recent_growth"
"Gray Hair Protects Us From Cancer? - StudyFinds",1,6,0,0,TRUE,"logistic_or_heuristic_short;low_rolling_slope;kendall_flat_or_decreasing;no_recent_growth"
"Kill Bill: The Whole Bloody Affair (2025) Official Trailer - Uma Thurman",1,6,0,0,TRUE,"logistic_or_heuristic_short;low_rolling_slope;kendall_flat_or_decreasing;no_recent_growth"
"Michael | Official Trailer",6,240,10,1,FALSE,""
"More people are dying before they turn 65. Who it impacts and what it means. - The Washington Post",1,6,0,0,TRUE,"logistic_or_heuristic_short;low_rolling_slope;kendall_flat_or_decreasing;no_recent_growth"
"Myke Towers - Lala (Letra)",6,240,2,1,FALSE,""
"NCAA: Six hoops players banned for betting plots - ESPN",1,6,0,0,TRUE,"logistic_or_heuristic_short;low_rolling_slope;kendall_flat_or_decreasing;no_recent_growth"
"New 3 TRACKS UPDATE + NEW BRAINROTS!",4,122.21,10,1,FALSE,""
"The Halloween Short Horror Watch Party...",1,6,0,0,TRUE,"logistic_or_heuristic_short;low_rolling_slope;kendall_flat_or_decreasing;no_recent_growth"
"The U.S. job market is slowing, not collapsing - Axios",1,6,0,0,TRUE,"logistic_or_heuristic_short;low_rolling_slope;kendall_flat_or_decreasing;no_recent_growth"
"What does Elon Musk do with all his money? - BBC",1,6,0,0,TRUE,"logistic_or_heuristic_short;low_rolling_slope;kendall_flat_or_decreasing;no_recent_growth"
"Why next year's flu shot might not be as good as it should be - NPR",1,6,0,0,TRUE,"logistic_or_heuristic_short;low_rolling_slope;kendall_flat_or_decreasing;no_recent_growth"
"skibidi toilet: emergence | official trailer",6,240,10,1,FALSE,""
